M,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CPP,3.54,6.87,11.76,17.80,25.37,33.77,43.50,55.44
MLIR,0.43,0.83,1.17,1.68,3.19,3.05,5.43,7.45,8.27,10.65,17.77,17.59,24.66,28.21,34.54,37.21,47.84,51.58,63.21
C,0.27,0.54,0.71,1.10,1.43,1.96,2.56,3.23
